,Search Cost: Nodes Generated,Search Cost: Nodes Generated,Search Cost: Nodes Generated,Search Cost: Nodes Generated,Effective Branching Factor b*,Effective Branching Factor b*,Effective Branching Factor b*,Effective Branching Factor b*,Solution Length,Solution Length,Solution Length,Solution Length,d
,DFS,BFS,A*(h1),A*(h2),DFS,BFS,A*(h1)*,A*(h2),DFS,BFS,A*(h1),A*(h2),
0,5,9,5,5,1.5700000000000012,2.3799999999999932,1.5700000000000012,1.5700000000000012,2,2,2,2,2
1,51,109,10,10,1.0500000000000007,2.9199999999999817,1.360000000000001,1.360000000000001,26,4,4,4,4
2,20000,453,13,13,7.0299999999998946,2.5599999999999894,1.2100000000000009,1.2100000000000009,5,6,6,6,6
3,20000,1861,37,24,7.0299999999998946,2.399999999999993,1.340000000000001,1.2400000000000009,5,8,8,8,8
4,4135,20000,94,54,1.0100000000000007,7.0299999999998946,1.400000000000001,1.300000000000001,2326,5,10,10,10
5,20000,20000,249,130,7.0299999999998946,7.0299999999998946,1.440000000000001,1.350000000000001,5,5,12,12,12
6,20000,20000,472,192,7.0299999999998946,7.0299999999998946,1.430000000000001,1.320000000000001,5,5,14,14,14
7,20000,20000,1082,376,7.0299999999998946,7.0299999999998946,1.440000000000001,1.330000000000001,5,5,16,16,16
